job_id,url,title,category,experience,experience_years_min,workplace,job_locations,company,company_size,company_founded,company_locations,salary_min,salary_max,salary_currency,contract_type,required_skills,nice_to_have,requirements,offer_description,responsibilities,valid_until,start_date,scraped_at
architekt-danych-tech-lead-data-platform-praca-hybrydowa-moondigo-warszawa,https://nofluffjobs.com/pl/job/architekt-danych-tech-lead-data-platform-praca-hybrydowa-moondigo-warszawa,Architekt Danych / Tech Lead Data Platform (praca hybrydowa),Data,Junior,10.0,Remote,,Moondigo Sp. z o.o.,"10 - 49 Siedziba: Warsaw 28 560 – 31 920 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Data Architect / Tech Lead Data Platform 31 920 – 35 280 PLN Data SQL Data engineering Microsoft Azure Ework Group Warszawa Architekt Danych / Tech Lead Data Platform 28 560 – 33 600 PLN Data Data engineering Microsoft Azure Azure Data Factory Antal Warszawa Architekt Danych / Tech Lead K/M 25 200 – 33 600 PLN Data Data engineering SQL Big data ASTEK Polska Warszawa Lead Data Platform Engineer 30 240 – 42 000 PLN Data Python GCP CI/CD Xebia sp. z o.o. Zdalnie +4 Senior Data Platform Engineer 23 000 – 30 000 PLN Data Python Java MySQL MOTIFE Warszawa Python Engineer, Data Platform 27 000 – 39 000 PLN Data Python SQL Cloud Link Group Warszawa Senior Data Platform Engineer - Python or Go 38 000 – 47 000 PLN Data Python Golang Distributed systems Link Group Warszawa Data Platform Architect (with GCP) - Automation & Innovation Department Sprawdź wynagrodzenie Data GCP BigQuery PUB T-Mobile Polska Zdalnie +1 Senior Data Platform Engineer (Python/GCP) 30 240 – 33 600 PLN Data Python Terraform Airflow Square One Resources Zdalnie Junior Machine Learning Engineer (Data Platform) Sprawdź wynagrodzenie Data Python SQL Docker Grupa Allegro Sp. z o. o. Warszawa Azure Data Warszawa Architekt Danych / Tech Lead Data Platform (praca hybrydowa) OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Azure Warszawa Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2023.0,,28560,31920,PLN,B2B,Azure SQL Medallion Java CI/CD Data engineering Guidewire EIS Microsoft Azure Data Factory Databricks Data Lake Event Hub Polski (Biegły) Angielski (B2),Event-driven architecture DDD ML AI,"Minimum 7–10 lat doświadczenia w IT, w tym 3–5 lat na stanowisku Tech Leada, Lead Developera lub Data Engineering Leada. Doświadczenie w projektowaniu i budowie platform danych klasy enterprise. Doświadczenie we wdrożeniach systemów Guidewire i/lub EIS. Bardzo dobra znajomość architektury danych, modelowania danych oraz integracji. Znajomość architektury Medallion (Bronze / Silver / Gold). Praktyczne doświadczenie z platformami danych opartymi o Microsoft Azure (Data Factory, Databricks, Data Lake, Event Hub) Bardzo dobra znajomość SQL oraz technologii przetwarzania dużych wolumenów danych. Doświadczenie z CI/CD, DevOps oraz automatyzacją wdrożeń. Znajomość zagadnień Data Governance, Data Quality oraz bezpieczeństwa danych. Doświadczenie w technicznym prowadzeniu zespołów. Nice to have: Doświadczenie z rozwiązaniami AI/ML oraz przygotowaniem danych dla modeli AI. Znajomość architektur event-driven. Certyfikat Microsoft Azure Data Engineer lub Azure Solutions Architect. Znajomość koncepcji Data Mesh oraz Domain-Driven Design (DDD).","Poszukujemy doświadczonego Architekta Danych / Tech Leada, który dołączy do strategicznego programu transformacji cyfrowej w branży ubezpieczeniowej. Osoba na tym stanowisku będzie odpowiadać za projektowanie oraz rozwój nowoczesnej Cloud Data Platform, wspierającej rozwiązania analityczne, raportowe i AI. To rola dla osoby z doświadczeniem w budowie platform danych klasy enterprise, potrafiącej podejmować decyzje architektoniczne oraz chcącej mieć realny wpływ na kierunek rozwoju nowoczesnych rozwiązań Data & AI. Oferujemy: Długoterminową współpracę przy stabilnym projekcie Pracę z nowoczesnym ekosystemem danych opartym o Microsoft Azure. Wpływ na architekturę i rozwój platformy danych wykorzystywanej przez analitykę oraz rozwiązania AI. Współpracę z doświadczonymi architektami, ekspertami Data oraz zespołami biznesowymi. Model pracy hybrydowej – 1 dzień w tygodniu w biurze w Warszawie. Kontrakt B2B z prywatną opieką medyczną Luxmed oraz kartą MutiSport.","Projektowanie i rozwój architektury Cloud Data Platform. Pełnienie roli Architekta Danych / Tech Leada dla zespołu Data Platform. Definiowanie standardów architektonicznych, projektowych i implementacyjnych. Podejmowanie kluczowych decyzji technologicznych dotyczących platformy danych. Koordynacja prac technicznych oraz wsparcie członków zespołu. Prowadzenie przeglądów architektonicznych oraz code review.",30.08.2026,"ASAP Praca zdalna przez 4 dni w tygodniu Elastyczne godziny pracy Kroki w procesie rekrutacyjnym Rozmowa HR - 20 minut Spotkanie techniczne - 30 minut Rozmowa z klientem - 1 godzina Sprzęt Windows Komputer: Notebook Metodologia Agile management Benefity Pakiet sportowy Prywatna opieka medyczna O firmie Moondigo Sp. z o.o.o Utworzona w: 2023 Wielkość firmy: 10 - 49 Siedziba: Warsaw 28 560 – 31 920 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Data Architect / Tech Lead Data Platform 31 920 – 35 280 PLN Data SQL Data engineering Microsoft Azure Ework Group Warszawa Architekt Danych / Tech Lead Data Platform 28 560 – 33 600 PLN Data Data engineering Microsoft Azure Azure Data Factory Antal Warszawa Architekt Danych / Tech Lead K/M 25 200 – 33 600 PLN Data Data engineering SQL Big data ASTEK Polska Warszawa Lead Data Platform Engineer 30 240 – 42 000 PLN Data Python GCP CI/CD Xebia sp. z o.o. Zdalnie +4 Senior Data Platform Engineer 23 000 – 30 000 PLN Data Python Java MySQL MOTIFE Warszawa Python Engineer, Data Platform 27 000 – 39 000 PLN Data Python SQL Cloud Link Group Warszawa Senior Data Platform Engineer - Python or Go 38 000 – 47 000 PLN Data Python Golang Distributed systems Link Group Warszawa Data Platform Architect (with GCP) - Automation & Innovation Department Sprawdź wynagrodzenie Data GCP BigQuery PUB T-Mobile Polska Zdalnie +1 Senior Data Platform Engineer (Python/GCP) 30 240 – 33 600 PLN Data Python Terraform Airflow Square One Resources Zdalnie Junior Machine Learning Engineer (Data Platform) Sprawdź wynagrodzenie Data Python SQL Docker Grupa Allegro Sp. z o. o. Warszawa Azure Data Warszawa Architekt Danych / Tech Lead Data Platform (praca hybrydowa) OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Azure Warszawa Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2026-08-13 18:47:52
architekt-danych-tech-lead-k-m-astek-polska-warszawa,https://nofluffjobs.com/pl/job/architekt-danych-tech-lead-k-m-astek-polska-warszawa,Architekt Danych / Tech Lead K/M,Data,Mid,10.0,Remote,,,,,,25200,33600,PLN,"B2B, Contract",Data engineering SQL Big Data Microsoft Azure Azure Data Factory Databricks DevOps Domain-driven design Polski,,"Posiadasz solidne doświadczenie: Masz min. 7–10 lat pracy w obszarze IT, w tym 3–5 lat w roli Architekta Danych, Tech Leada, Lead Developera lub Data Engineering Leada. Znasz domenę ubezpieczeniową: Posiadasz doświadczenie we wdrożeniach systemów klasy core insurance do obsługi szkód i świadczeń (EIS lub Guidewire) w środowiskach enterprise. Świetnie poruszasz się w architekturze danych: Doskonale znasz modelowanie danych, projektowanie integracji, architekturę Medallion (Bronze, Silver, Gold) oraz biegle posługujesz się językiem SQL i technologiami Big Data. Pracujesz z chmurą Microsoft Azure: Posiadasz praktyczną znajomość narzędzi takich jak Azure Data Factory, Databricks, Data Lake, Event Hub (lub rozwiązań równoważnych). Znasz standardy inżynierii oprogramowania: Posiadasz doświadczenie w CI/CD, DevOps, automatyzacji wdrożeń oraz dbasz o Data Governance, Data Quality i bezpieczeństwo danych. Masz cechy lidera: Cechuje Cię wysoka samodzielność, odpowiedzialność, umiejętność podejmowania decydujących kroków technologicznych oraz prowadzenia i wspierania zespołu deweloperskiego. Certyfikaty Microsoft Azure Data Engineer lub Azure Solutions Architect. Doświadczenie w wykorzystaniu AI/ML oraz w przygotowywaniu danych pod rozwiązania oparte na sztucznej inteligencji. Praktyka w projektowaniu architektur event-driven. Znajomość nowoczesnych koncepcji architektonicznych: Data Mesh oraz Domain-Driven Design (DDD).",,"Projektowanie i rozwój platformy: Tworzenie architektury technicznej Cloud Data Platform w ramach strategicznego programu transformacji obszaru szkód i świadczeń (program Olimp w PZU). Liderowanie techniczne: Podejmowanie kluczowych decyzji technologicznych, definiowanie standardów (architektonicznych, projektowych, implementacyjnych) oraz prowadzenie przeglądów architektury i code review. Zarządzanie warstwami danych: Nadzór nad budową i rozwojem warstw Silver i Gold z dbałością o spójność, jakość, dostępność i bezpieczeństwo danych. Tworzenie produktów danych: Definiowanie i rozwój zasobów wykorzystywanych przez zespoły raportowe, analityczne oraz rozwiązania AI. Koordynacja i wsparcie zespołu: Organizacja prac deweloperskich, udział w estymacjach i planowaniu oraz wspieranie członków zespołu w rozwiązywaniu złożonych problemów technicznych. Współpraca z biznesem i IT: Bliska współpraca z architektami, analitykami, Product Ownerami i innymi zespołami projektowymi.",05.09.2026,"ASAP Praca zdalna: Elastyczna liczba dni w tygodniu 25 200 – 33 600 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Architekt Danych / Tech Lead Data Platform 28 560 – 33 600 PLN Data Data engineering Microsoft Azure Azure Data Factory Antal Warszawa Architekt Danych / Tech Lead Data Platform (praca hybrydowa) 28 560 – 31 920 PLN Data Azure SQL Medallion Moondigo Sp. z o.o. Warszawa +3 GCP Data Engineer (m/k) - IT Contracting 20 160 – 24 360 PLN Data GCP BI ETL Michael Page Zdalnie +1 IT Business Analyst (K/M) K/M 16 800 – 21 000 PLN Data MS Office polski ASTEK Polska Warszawa Senior Data Engineer (f/m/x) 23 100 – 25 200 PLN Data Data Factory Python SQL Sii Polska Zdalnie +14 Trend Researcher \ Badacz Rynku K/M 10 500 – 14 070 PLN Data Big data Trend Watcher Trend Hunter ASTEK Polska Warszawa Programista Baz Danych MS SQL (F/M) 21 000 – 23 100 PLN Data SQL SQL Server T-SQL ASTEK Polska Warszawa Data Scientist (m/f) Sprawdź wynagrodzenie Data Python Data science ML Antal Warszawa Big Data Engineer with Spark/Scala (f/m/x) 25 200 – 29 400 PLN Data Spark SQL Scala Sii Polska Warszawa Ekspert Data Governance K/M 21 000 – 24 150 PLN Data AI Ada AI Governance ASTEK Polska Zdalnie +1 Data Warszawa Architekt Danych / Tech Lead K/M OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Warszawa Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2026-08-13 18:47:54
azure-data-platform-engineer-m-f-stackmine-remote,https://nofluffjobs.com/pl/job/azure-data-platform-engineer-m-f-stackmine-remote,Azure Data Platform Engineer [M/F],Data,Mid,,Remote,,Stackmine,"50 - 249 Siedziba: Katowice Jesteśmy partnerem technologicznym wspierającym firmy w realizacji ich celów biznesowych poprzez dostarczanie specjalistycznej wiedzy i kompetencji IT. Pomagamy organizacjom budować oraz rozwijać zespoły technologiczne, zapewniając dostęp do doświadczonych ekspertów z różnych obszarów IT. Wspieramy naszych partnerów na każdym etapie współpracy, od zrozumienia potrzeb i dobrania odpowiednich kompetencji, po skuteczną realizację projektów i inicjatyw technologicznych. Łączą nas pasja do technologii, doświadczenie oraz chęć dzielenia się wiedzą. Wierzymy w długofalowe relacje, elastyczne podejście i współpracę opartą na zaufaniu. Razem pomagamy firmom rozwijać ich możliwości technologiczne i realizować ambitne cele. 26 880 – 32 760 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Cloud Data Migration Architect [M/F] 27 720 – 31 080 PLN Data Snowflake BigQuery Databricks Arche Solutions Zdalnie Data Scientist [M/F] 23 520 – 28 560 PLN Data Python polski angielski Arche Solutions Zdalnie AWS Data Engineer [M/F] 25 200 – 31 920 PLN Data AWS AWS Data Platform Terraform Arche Solutions Zdalnie Cloudera Solution Architect (AWS) [M/F] 33 600 – 39 480 PLN Data AWS Cloudera polski Arche Solutions Zdalnie Senior Oracle Database Developer / PL/SQL Developer [M/F] 21 000 – 25 200 PLN Data Oracle PL/SQL Python Arche Solutions Zdalnie Senior Data Quality Engineer [M/F] 23 520 – 27 720 PLN Data SQL Python ETL Arche Solutions Zdalnie Senior Database Architect (SQL Server/PostgreSQL) [M/F] 26 880 – 31 080 PLN Data SQL PostgreSQL angielski Arche Solutions Zdalnie Data Engineer [M/F] 20 160 – 23 520 PLN Data Python polski angielski Arche Solutions Warszawa Data Analyst [M/F] 21 840 – 26 880 PLN Data SQL Data analytics angielski Arche Solutions Kraków Enterprise Architect – Azure Data Platform & Governance 30 240 – 33 600 PLN Data Azure Azure Data Factory Microsoft Azure 1dea Zdalnie +1 Azure Data Remote Azure Data Platform Engineer [M/F] OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Azure Praca zdalna Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2021.0,,26880,32760,PLN,B2B,Azure Microsoft Fabric Angielski (C1) Polski (C1),,"Min. 6-letnie doświadczenie na podobnym stanowisku. Praktyczne doświadczenie z Microsoft Azure. Doświadczenie z Databricks i/lub Microsoft Fabric. Dobra znajomość architektury nowoczesnych platform danych oraz ekosystemu Data Engineering. Bardzo dobre doświadczenie z Terraform i podejściem Infrastructure as Code. Doświadczenie w projektowaniu i zarządzaniu infrastrukturą chmurową w środowisku enterprise. Praktyczna znajomość Kubernetes, w tym administracji i utrzymania środowisk. Doświadczenie w budowaniu i utrzymywaniu CI/CD oraz automatyzacji deploymentów. Znajomość dobrych praktyk DevOps i Platform Engineering. Doświadczenie w implementacji kontroli dostępu, audytu oraz mechanizmów zarządzania tożsamością. Znajomość zagadnień związanych z bezpieczeństwem, governance i niezawodnością platform danych.","Projekt obejmuje modernizację oraz migrację istniejącej platformy danych do nowoczesnej, skalowalnej architektury cloud-native opartej na Microsoft Azure. Projekt daje możliwość pracy przy dużej transformacji technologicznej, z wykorzystaniem nowoczesnych praktyk Cloud Engineering, Platform Engineering, DevOps oraz Infrastructure as Code.","Udział w warsztatach discovery oraz analizie istniejącej platformy danych. Współtworzenie docelowej architektury oraz strategii migracji do Azure. Projektowanie i rozwój skalowalnej infrastruktury chmurowej. Wspieranie migracji workloadów, pipeline'ów oraz usług danych do Azure, Databricks i/lub Microsoft Fabric. Projektowanie, wdrażanie i utrzymywanie środowisk opartych na Kubernetes. Tworzenie i utrzymywanie pipeline'ów CI/CD oraz automatyzacja procesów deploymentu.",06.09.2026,"ASAP Praca w pełni zdalna O firmie Arche Solutions Sp. z o.o. Utworzona w: 2021 Wielkość firmy: 50 - 249 Siedziba: Katowice Jesteśmy partnerem technologicznym wspierającym firmy w realizacji ich celów biznesowych poprzez dostarczanie specjalistycznej wiedzy i kompetencji IT. Pomagamy organizacjom budować oraz rozwijać zespoły technologiczne, zapewniając dostęp do doświadczonych ekspertów z różnych obszarów IT. Wspieramy naszych partnerów na każdym etapie współpracy, od zrozumienia potrzeb i dobrania odpowiednich kompetencji, po skuteczną realizację projektów i inicjatyw technologicznych. Łączą nas pasja do technologii, doświadczenie oraz chęć dzielenia się wiedzą. Wierzymy w długofalowe relacje, elastyczne podejście i współpracę opartą na zaufaniu. Razem pomagamy firmom rozwijać ich możliwości technologiczne i realizować ambitne cele. 26 880 – 32 760 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Cloud Data Migration Architect [M/F] 27 720 – 31 080 PLN Data Snowflake BigQuery Databricks Arche Solutions Zdalnie Data Scientist [M/F] 23 520 – 28 560 PLN Data Python polski angielski Arche Solutions Zdalnie AWS Data Engineer [M/F] 25 200 – 31 920 PLN Data AWS AWS Data Platform Terraform Arche Solutions Zdalnie Cloudera Solution Architect (AWS) [M/F] 33 600 – 39 480 PLN Data AWS Cloudera polski Arche Solutions Zdalnie Senior Oracle Database Developer / PL/SQL Developer [M/F] 21 000 – 25 200 PLN Data Oracle PL/SQL Python Arche Solutions Zdalnie Senior Data Quality Engineer [M/F] 23 520 – 27 720 PLN Data SQL Python ETL Arche Solutions Zdalnie Senior Database Architect (SQL Server/PostgreSQL) [M/F] 26 880 – 31 080 PLN Data SQL PostgreSQL angielski Arche Solutions Zdalnie Data Engineer [M/F] 20 160 – 23 520 PLN Data Python polski angielski Arche Solutions Warszawa Data Analyst [M/F] 21 840 – 26 880 PLN Data SQL Data analytics angielski Arche Solutions Kraków Enterprise Architect – Azure Data Platform & Governance 30 240 – 33 600 PLN Data Azure Azure Data Factory Microsoft Azure 1dea Zdalnie +1 Azure Data Remote Azure Data Platform Engineer [M/F] OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Azure Praca zdalna Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2026-08-13 18:47:57
business-analyst-mindbox-krakow-26,https://nofluffjobs.com/pl/job/business-analyst-mindbox-krakow-26,Business Analyst,Data,Senior,5.0,Remote,,,,,,21000,25200,PLN,"B2B, Contract",Business analysis Databricks Power BI Data mapping Angielski,Agile Cybersecurity GitHub Audit,"Oryginalny tekst. Pokaż tłumaczenie 5+ years of proven Business Analysis experience in technical environments Strong understanding of data platforms and reporting ecosystems, including Databricks and Power BI Expertise in requirements elicitation, stakeholder facilitation, and process/data mapping across complex systems Demonstrated ability to translate intricate technical architecture into clear, actionable business deliverables Structured problem-solving approach and experience working with Agile methods and governance controls Preferred Qualifications Previous experience in Cybersecurity or regulated enterprise contexts Familiarity with AI-enabled productivity tools (e.g., GitHub Copilot, VS Code extensions) Exposure to governance-heavy programs with controls and audit trails Knowledge of data compliance, validation, and reporting frameworks Joining this project you’ll become part of Mindbox – a tech-driven company where consulting, engineering, and talent meet to build meaningful digital solutions. We’ll back you up every step of the way, accelerate your development, and ensure your skills make a difference.","Oryginalny tekst. Pokaż tłumaczenie At Mindbox we connect top IT talents with technology projects for leading enterprises across Europe. We are seeking an experienced Senior Business Analyst with strong exposure to Databricks and Power BI to support a complex enterprise transformation programme. This role is essential to understanding how data is structured, processed, and consumed across the organization, with a key focus on mapping end-to-end data pipelines and reporting dependencies. You will collaborate with multiple stakeholders – including business leaders, data engineers, BI developers, and architects – to provide clarity on application interactions, data flows, reporting logic, and user journeys, ensuring delivery confidence and risk mitigation. Sounds like your kind of challenge? What you get in return Flexible cooperation model – choose the form that suits you best (B2B, employment contract, etc.) Hybrid work setup – remote days available depending on the client’s arrangements - 6 days a month from the office in Kraków Collaborative team culture – work alongside experienced professionals eager to share knowledge Continuous development – access to training platforms and growth opportunities Comprehensive benefits – including Interpolska Health Care, Multisport card, Warta Insurance, and more High quality equipment – laptop and essential software provided","Oryginalny tekst. Pokaż tłumaczenie Analyse and document dependencies across enterprise landscapes focusing on Databricks (data pipelines, transformation jobs) and Power BI (semantic models, dashboards) Map end-to-end data journeys covering data ingestion, transformation layers, reporting flows, and user interaction points Define and maintain clear process maps, lineage diagrams, dependency matrices, and acceptance criteria for changes Identify upstream/downstream impacts of data model and dashboard logic modifications Partner with technical teams and business stakeholders to validate requirements and sequencing of delivery activities Support validation planning, reporting assurance, and sign-off readiness through robust requirement traceability",11.09.2026,,2026-08-13 18:47:59
data-analyst-ework-group-gdansk-4,https://nofluffjobs.com/pl/job/data-analyst-ework-group-gdansk-4,Data Analyst,Data,Senior,,Remote,,Ework Group,"250 - 499 Siedziba: Warszawa Founded in 2000, listed on Nasdaq Stockholm, with around 13,000 independent professionals on assignment - we are the total talent solutions provider who partners with clients, in both the private and public sector, and professionals to create sustainable talent supply chains. With a focus on IT/OT, R&D, Engineering and Business Development, we deliver sustainable value through a holistic and independent approach to total talent management. By providing comprehensive talent solutions, combined with vast industry experience and excellence in execution, we form successful collaborations. We bridge clients and partners & professionals throughout the talent supply chain, for the benefit of individuals, organizations and society. Ework has been operating in Poland since May 2015 with offices in Warsaw, Wrocław, Gdynia and Katowice. Currently, we manage over 1200 consultants on assignment. Join us! 23 520 – 26 880 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Data Analyst (Capital Reporting Support) 20 160 – 24 360 PLN Data SQL Python UAT Ework Group Warszawa Reference Data Analyst 20 000 – 30 000 PLN Data Data analysis Reference Data Data quality Link Group Warszawa Senior IT Analyst – Data & ML Solutions 21 000 – 25 200 PLN Data AWS AWS SageMaker Data analysis Ework Group Gdańsk +1 Clinical Data Analyst 6 720 – 7 224 EUR Data SQL Databricks Python Ework Group Zdalnie +1 Data Analyst 21 840 – 25 200 PLN Data SQL Hive Data analysis Ework Group Gdańsk +1 Principal Data Engineer 22 500 – 34 500 PLN Data Spark Cloud Data engineering GFT Poland Kraków +3 Data&AI Consultant (Microsoft Fabric & AI) Sprawdź wynagrodzenie Data Microsoft Fabric Data engineering Analytics EBIS Zdalnie +16 Principal Data Consultant 33 600 – 44 520 PLN Data Spark Cloud Data engineering GFT Poland Kraków +3 Senior Data Governance Engineer (GCP) Sprawdź wynagrodzenie Data GCP Data engineering Data governance Square One Resources Zdalnie +1 Data Engineer 27 000 – 31 000 PLN Data Python SQL Celery Connectis_ Zdalnie +1 SQL Data Gdańsk Data Analyst OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Sql Gdańsk Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2015.0,,23520,26880,PLN,B2B,SQL Python Data management Data analysis Angielski (C1),Data migration Governance,"✔️Must-have knowledge and experience: Proven experience in data management, data quality, or a related role, preferably within the financial services industry Experience with advanced SQL, Python, R, Java and Scala Familiar with data taxonomy and capable to build small data models Experience with Power BI to produce reports Excellent stakeholder management is mandatory as you will be working closely with multiple business areas and key business leads across IT, Architecture, Financial Crime, Compliance, Legal - and the Business in order to implement changes Experience within financial crime (AML/CTF, KYC, Transaction Monitoring and Sanctions) Professional, organised, and structured in approach and work produced to a high quality of standard, and you always strive to find the solution that is best for the bank Prepared for fast paced project with changing priorities Excellent analytical and problem-solving skills, strong attention to detail and a commitment to data accuracy Ability to communicate effectively with both technical and non-technical audiences Ability to work independently and as part of a team Fluency in English is a requirement (speaking and writing) ✔️Nice to have knowledge: Experience with data governance frameworks and methodologies is a plus Experience with data migration and integration projects is a plus",,"Oryginalny tekst. Pokaż tłumaczenie Supporting the critical GKYC programme to deliver data analytics, design, development",10.09.2026,"ASAP Praca zdalna przez 2 dni w tygodniu O firmie Ework Group Utworzona w: 2015 Wielkość firmy: 250 - 499 Siedziba: Warszawa Founded in 2000, listed on Nasdaq Stockholm, with around 13,000 independent professionals on assignment - we are the total talent solutions provider who partners with clients, in both the private and public sector, and professionals to create sustainable talent supply chains. With a focus on IT/OT, R&D, Engineering and Business Development, we deliver sustainable value through a holistic and independent approach to total talent management. By providing comprehensive talent solutions, combined with vast industry experience and excellence in execution, we form successful collaborations. We bridge clients and partners & professionals throughout the talent supply chain, for the benefit of individuals, organizations and society. Ework has been operating in Poland since May 2015 with offices in Warsaw, Wrocław, Gdynia and Katowice. Currently, we manage over 1200 consultants on assignment. Join us! 23 520 – 26 880 PLN + VAT (B2B) miesięcznie oblicz ""na rękę"" Szczegóły wynagrodzenia Aplikuj Zapisz ofertę Analiza CV BETA Oceń tę ofertę 😫 🙁 😐 🙂 😃 ZOBACZ PODOBNE OFERTY Data Analyst (Capital Reporting Support) 20 160 – 24 360 PLN Data SQL Python UAT Ework Group Warszawa Reference Data Analyst 20 000 – 30 000 PLN Data Data analysis Reference Data Data quality Link Group Warszawa Senior IT Analyst – Data & ML Solutions 21 000 – 25 200 PLN Data AWS AWS SageMaker Data analysis Ework Group Gdańsk +1 Clinical Data Analyst 6 720 – 7 224 EUR Data SQL Databricks Python Ework Group Zdalnie +1 Data Analyst 21 840 – 25 200 PLN Data SQL Hive Data analysis Ework Group Gdańsk +1 Principal Data Engineer 22 500 – 34 500 PLN Data Spark Cloud Data engineering GFT Poland Kraków +3 Data&AI Consultant (Microsoft Fabric & AI) Sprawdź wynagrodzenie Data Microsoft Fabric Data engineering Analytics EBIS Zdalnie +16 Principal Data Consultant 33 600 – 44 520 PLN Data Spark Cloud Data engineering GFT Poland Kraków +3 Senior Data Governance Engineer (GCP) Sprawdź wynagrodzenie Data GCP Data engineering Data governance Square One Resources Zdalnie +1 Data Engineer 27 000 – 31 000 PLN Data Python SQL Celery Connectis_ Zdalnie +1 SQL Data Gdańsk Data Analyst OTRZYMUJ DOPASOWANE OFERTY PRACY Twoje kryteria: Data Sql Gdańsk Adres e-mail Subskrybuj Chcę otrzymywać nowe oferty pracy spełniające wybrane kryteria * Chcę otrzymywać informacje o wynagrodzeniach, trendach i innych ofertach IT Załóż konto lub subskrypcję ofert i skorzystaj z dadatkowych benefitów: 100 złotych rabatu na księgowość w inFakcie W każdej chwili możesz zrezygnować z subskrypcji © No Fluff Jobs Więcej",2026-08-13 18:48:02
